,Tweet Author,Tweet Date,Tweet Text,compound,neg,neu,pos
113,@CNN,Fri Aug 17 06:54:06 +0000 2018,"""For more than six decades...every time she sang, we were all graced with a glimpse of the divine""

Read the Obamas… https://t.co/spBDZQGy4c",0.6705,0.0,0.776,0.224
114,@CNN,Fri Aug 17 06:44:06 +0000 2018,This program is helping Kentucky's food stamp recipients find jobs https://t.co/Nd1Lh4QqKb,0.296,0.0,0.82,0.18
115,@CNN,Fri Aug 17 06:36:27 +0000 2018,Anti-Semitism is so bad in Britain that some Jews are planning to leave https://t.co/TpIs18UwoG https://t.co/T7TyRyeF1n,-0.6899,0.304,0.696,0.0
116,@CNN,Fri Aug 17 06:34:37 +0000 2018,Two gangs fought over a Chicago neighborhood for years. Then rival gang members helped build a playground together.… https://t.co/oj8M4gZgUM,-0.3182,0.126,0.874,0.0
117,@CNN,Fri Aug 17 06:24:03 +0000 2018,"Life expectancy has dropped in the US and the UK, but risen in Australia, according to a new study https://t.co/lSyKnyJIL6",0.0,0.0,1.0,0.0
118,@CNN,Fri Aug 17 06:14:04 +0000 2018,"""We are not the enemy; We are the people:"" 16 must-read editorials from newspapers taking a collective stand agains… https://t.co/fpluksu24s",0.431,0.0,0.863,0.137
119,@CNN,Fri Aug 17 06:04:05 +0000 2018,"Aretha Franklin's ""Respect"" was no coquettish plea—it was a warning shot by a strong black woman demanding better t… https://t.co/4tvT1A0C3Y",0.1779,0.253,0.506,0.241
120,@CNN,Fri Aug 17 05:54:03 +0000 2018,Pennsylvania lawmakers are considering a bill that would eliminate the statute of limitations on child sex abuse ca… https://t.co/EAESJu7oMv,-0.6369,0.198,0.802,0.0
121,@CNN,Fri Aug 17 05:44:06 +0000 2018,"Iranians vent anger at Trump as the wheels come off their economy: ""The price of an egg has doubled, and milk is ab… https://t.co/PDQGXl3bGS",-0.5719,0.139,0.861,0.0
122,@CNN,Fri Aug 17 05:34:07 +0000 2018,"Unsafe levels of a weed killer chemical in oat products, report says https://t.co/llBXuyMgEI https://t.co/tqY5o8xS2i",-0.6486,0.264,0.736,0.0
123,@CNN,Fri Aug 17 05:24:09 +0000 2018,"It was the perfect town to raise a family, until they learned about chemicals in the tap water… https://t.co/2WfQRxBghE",0.5719,0.0,0.821,0.179
124,@CNN,Fri Aug 17 05:14:07 +0000 2018,9 extraordinary hotels to sleep in before you die https://t.co/MwMOayHy8l https://t.co/XgFyXGF7hq,-0.5994,0.302,0.698,0.0
125,@CNN,Fri Aug 17 05:04:06 +0000 2018,Would Medicare-for-all be expensive? Yes. But it would be significantly less costly than our current dysfunctional… https://t.co/nyctZrfukd,0.1753,0.064,0.833,0.103
126,@CNN,Fri Aug 17 04:54:07 +0000 2018,This 3D-printed 'gill' may allow humans to breathe underwater https://t.co/CL1WwI2uqK,0.2263,0.0,0.826,0.174
127,@CNN,Fri Aug 17 04:44:08 +0000 2018,Amateur golfer Ali Gibb hit three hole-in-ones on the same day https://t.co/r46Hl3GK0K,0.0,0.0,1.0,0.0
128,@CNN,Fri Aug 17 04:34:05 +0000 2018,A Colorado man has been arrested after his pregnant wife and two young daughters disappeared this week… https://t.co/qF3LHqS7RX,-0.6124,0.25,0.75,0.0
129,@CNN,Fri Aug 17 04:24:02 +0000 2018,Vegan diets may have major health benefits -- but those can be offset by deficiencies if the diet isn't managed car… https://t.co/XXxaW71yos,0.2023,0.0,0.921,0.079
130,@CNN,Fri Aug 17 04:14:07 +0000 2018,China will become the first nation in the world to explore the dark side of the moon this year. Here's the rover it… https://t.co/rN7nO9PLPH,0.0,0.0,1.0,0.0
131,@CNN,Fri Aug 17 04:04:02 +0000 2018,"Hundreds of thousands of additional vaccines intended for children have been found to be faulty, the Chinese govern… https://t.co/NPs7lgUpDf",-0.3182,0.113,0.887,0.0
132,@CNN,Fri Aug 17 03:54:03 +0000 2018,A majority of Americans (55%) say they don't support the Trump administration's plans to establish a Space Force https://t.co/c2ueX3OThP,-0.3089,0.124,0.876,0.0
133,@CNN,Fri Aug 17 03:44:04 +0000 2018,"More than 72,000 Americans died of drug overdoses in 2017, up nearly 7% from 2016, according to preliminary data fr… https://t.co/pBMv6z6iLW",-0.5574,0.153,0.847,0.0
134,@CNN,Fri Aug 17 03:34:06 +0000 2018,British artist Lucy Sparrow's playful LA supermarket is stocked with felt fruit and veg https://t.co/zPsoC4FsAR https://t.co/QAkteGl5dE,0.4404,0.0,0.838,0.162
135,@CNN,Fri Aug 17 03:24:02 +0000 2018,The Department of Defense says Trump's military parade originally scheduled for Veterans Day will be postponed https://t.co/n0nNypARY2,-0.0772,0.098,0.82,0.082
136,@CNN,Fri Aug 17 03:14:08 +0000 2018,"China is actively developing its fleet of long-range bombers and ""likely"" training its pilots for missions targetin… https://t.co/4Iv3gE0VCx",0.3182,0.0,0.881,0.119
